Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,7726
Start date:,2026-08-18
End date:,2026-08-25

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
12.08,139.9,Philadelphia Defense,DEF,PHI,779,16.6,96,180,10
12.08,140.0,Ka'imi Fairbairn,PK,HOU,180,18.1,92,185,8
12.09,140.9,LA Chargers Defense,DEF,LAC,613,14.8,102,180,7
12.09,140.9,Woody Marks,RB,HOU,363,15.3,101,177,8
12.10,142.1,San Francisco Defense,DEF,SF,8,28.1,80,178,8
12.10,142.4,Sam Darnold,QB,SEA,243,14.2,105,178,11
12.11,142.6,Cameron Dicker,PK,LAC,316,18.3,94,187,7
12.11,142.9,Calvin Ridley,WR,TEN,88,11.8,112,169,9
12.11,143.5,Juwan Johnson,TE,NO,374,21.3,91,180,8
13.01,145.3,Alvin Kamara,RB,NO,329,23.0,85,179,8
13.03,146.8,Jordan Love,QB,GB,373,13.5,111,177,11
13.03,146.9,Emari Demercado,RB,KC,9,14.2,137,184,5
13.04,147.7,Jake Bates,PK,DET,182,18.6,103,190,6
13.04,148.2,Jauan Jennings,WR,MIN,73,9.7,125,171,6
13.04,148.2,Mike Washington Jr.,RB,LV,162,25.6,81,209,13
13.04,148.4,Harrison Mevis,PK,LAR,132,17.2,111,194,11
13.05,148.7,Malik Washington,WR,MIA,262,13.4,113,179,6
13.05,148.9,Dalton Kincaid,TE,BUF,331,21.4,93,196,7
13.06,149.6,Will Levis,QB,TEN,5,12.5,144,172,9
13.06,150.2,Cyrus Allen,WR,KC,44,24.2,87,204,5
13.07,150.6,Cooper Kupp,WR,SEA,128,18.4,102,180,11
13.08,151.6,Rashod Bateman,WR,BAL,42,14.9,115,180,13
13.09,152.7,Chase McLaughlin,PK,TB,145,17.8,106,194,10
13.09,153.2,Kimani Vidal,RB,LAC,6,12.6,142,174,7
13.09,153.3,Oronde Gadsden,TE,LAC,9,24.3,116,176,7
13.09,153.3,Tyler Allgeier,RB,ARI,328,21.9,96,205,14
13.09,153.4,Jonah Coleman,RB,DEN,106,17.6,117,192,10
13.09,153.4,Hunter Henry,TE,NE,96,24.7,91,188,11
13.10,153.9,Isiah Pacheco,RB,DET,245,19.3,103,180,6
13.10,154.0,Cam Little,PK,JAX,434,17.7,110,199,7
13.10,154.3,Joey Slye,PK,TEN,9,12.6,148,178,9
13.11,154.6,MarShawn Lloyd,RB,GB,43,21.9,105,200,11
13.11,154.6,Tyler Loop,PK,BAL,186,15.0,115,180,13
13.11,154.6,Tyrone Tracy Jr.,RB,NYG,163,17.9,108,180,8
13.11,155.4,Jalen Nailor,WR,LV,137,15.9,113,180,13
13.12,155.7,Green Bay Defense,DEF,GB,25,18.3,128,204,11
13.12,155.8,Tampa Bay Defense,DEF,TB,5,32.9,120,205,10
13.12,156.3,Chig Okonkwo,TE,WAS,23,15.2,136,187,7
13.12,156.5,Tank Dell,WR,HOU,302,15.8,115,180,8
14.01,156.6,Pat Bryant,WR,DEN,10,25.6,131,194,10
14.01,156.7,AJ Barner,TE,SEA,12,26.4,117,204,11
14.01,156.9,Malachi Fields,WR,NYG,14,28.4,108,209,8
14.01,157.0,Chris Boswell,PK,PIT,51,17.4,111,203,9
14.01,157.1,Ja'Kobi Lane,WR,BAL,117,19.8,105,208,13
14.01,157.2,Chris Rodriguez Jr.,RB,JAX,208,19.5,106,194,7
14.01,157.4,Jacksonville Defense,DEF,JAX,721,14.7,119,208,7
14.02,157.7,Dylan Sampson,RB,CLE,90,15.3,117,180,11
14.02,157.7,Keaton Mitchell,RB,LAC,103,20.4,104,207,7
14.02,158.0,Tyler Bass,PK,BUF,13,24.9,110,210,7
14.02,158.1,C.J. Stroud,QB,HOU,156,15.5,117,180,8
14.03,158.6,Cleveland Defense,DEF,CLE,473,13.3,123,198,11
14.03,159.2,Braelon Allen,RB,NYJ,91,20.9,104,204,13
14.04,159.6,Tank Bigsby,RB,PHI,118,21.0,111,208,10
14.04,159.7,Ryan Flournoy,WR,DAL,30,28.1,86,200,14
14.04,160.0,Kenyon Sadiq,TE,NYJ,32,16.5,124,187,13
14.04,160.2,Terrance Ferguson,TE,LAR,23,12.3,134,174,11
14.04,160.4,Ray Davis,RB,BUF,12,20.2,123,177,7
14.04,160.5,Wil Lutz,PK,DEN,177,16.4,120,207,10
14.05,160.6,Buffalo Defense,DEF,BUF,621,15.3,120,203,7
14.05,160.7,Daniel Jones,QB,IND,203,12.3,128,180,13
14.05,161.0,Antonio Williams,WR,WAS,6,13.2,145,175,7
14.05,161.0,Blake Grupe,PK,IND,78,16.7,135,210,13
14.05,161.3,Malik Davis,RB,DAL,6,27.5,111,192,14
14.06,161.7,Trey Smack,PK,GB,19,21.8,123,205,11
14.06,161.9,Bryce Young,QB,CAR,27,19.5,120,192,5
14.06,162.2,Harrison Butker,PK,KC,205,17.3,117,210,5
14.06,162.2,Will Reichard,PK,MIN,136,17.3,117,204,6
